Date,symbol_put_2,open_put_2,symbol_put_1,open_put_1,symbol_call_1,open_call_1,symbol_call_2,open_call_2
2025-06-16,O:SPY250616P00585000,0.03,O:SPY250616P00592000,0.13,O:SPY250616C00608000,0.01,O:SPY250616C00615000,0.01
2025-06-17,O:SPY250617P00584000,0.02,O:SPY250617P00592000,0.13,O:SPY250617C00608000,0.01,O:SPY250617C00616000,0.01
2025-06-18,O:SPY250618P00582000,0.03,O:SPY250618P00590000,0.27,O:SPY250618C00606000,0.08,O:SPY250618C00614000,0.01
2025-06-20,O:SPY250620P00582000,0.03,O:SPY250620P00590000,0.14,O:SPY250620C00606000,0.05,O:SPY250620C00614000,0.01
2025-06-23,O:SPY250623P00579000,0.02,O:SPY250623P00587000,0.12,O:SPY250623C00603000,0.02,O:SPY250623C00611000,0.01
2025-06-24,O:SPY250624P00590000,0.04,O:SPY250624P00597000,0.18,O:SPY250624C00611000,0.02,O:SPY250624C00618000,0.01
2025-06-25,O:SPY250625P00595000,0.03,O:SPY250625P00602000,0.12,O:SPY250625C00614000,0.01,O:SPY250625C00621000,0.01
2025-06-26,O:SPY250626P00596000,0.02,O:SPY250626P00602000,0.08,O:SPY250626C00616000,0.01,O:SPY250626C00622000,0.01
2025-06-27,O:SPY250627P00600000,0.03,O:SPY250627P00606000,0.08,O:SPY250627C00620000,0.01,O:SPY250627C00626000,0.01
2025-06-30,O:SPY250630P00604000,0.02,O:SPY250630P00610000,0.11,O:SPY250630C00624000,0.01,O:SPY250630C00630000,0.01
2025-07-01,O:SPY250701P00603000,0.04,O:SPY250701P00610000,0.15,O:SPY250701C00622000,0.04,O:SPY250701C00629000,0.02
2025-07-02,O:SPY250702P00604000,0.02,O:SPY250702P00610000,0.09,O:SPY250702C00624000,0.02,O:SPY250702C00630000,0.01
2025-07-03,O:SPY250703P00609000,0.02,O:SPY250703P00616000,0.05,O:SPY250703C00628000,0.02,O:SPY250703C00635000,0.01
2025-07-07,O:SPY250707P00609000,0.03,O:SPY250707P00616000,0.12,O:SPY250707C00630000,0.01,O:SPY250707C00637000,0.01
2025-07-08,O:SPY250708P00607000,0.02,O:SPY250708P00614000,0.07,O:SPY250708C00628000,0.02,O:SPY250708C00635000,0.01
2025-07-09,O:SPY250709P00610000,0.01,O:SPY250709P00616000,0.06,O:SPY250709C00630000,0.02,O:SPY250709C00636000,0.01
2025-07-10,O:SPY250710P00611000,0.02,O:SPY250710P00618000,0.07,O:SPY250710C00630000,0.01,O:SPY250710C00637000,0.01
2025-07-11,O:SPY250711P00610000,0.03,O:SPY250711P00616000,0.15,O:SPY250711C00630000,0.02,O:SPY250711C00636000,0.01
2025-07-14,O:SPY250714P00609000,0.01,O:SPY250714P00616000,0.04,O:SPY250714C00630000,0.01,O:SPY250714C00637000,0.01
2025-07-15,O:SPY250715P00615000,0.02,O:SPY250715P00622000,0.1,O:SPY250715C00634000,0.02,O:SPY250715C00641000,0.01
2025-07-16,O:SPY250716P00610000,0.02,O:SPY250716P00617000,0.06,O:SPY250716C00631000,0.02,O:SPY250716C00638000,0.01
2025-07-17,O:SPY250717P00610000,0.02,O:SPY250717P00617000,0.06,O:SPY250717C00631000,0.01,O:SPY250717C00638000,0.01
2025-07-18,O:SPY250718P00616000,0.03,O:SPY250718P00622000,0.1,O:SPY250718C00636000,0.02,O:SPY250718C00642000,0.01
2025-07-21,O:SPY250721P00616000,0.01,O:SPY250721P00622000,0.05,O:SPY250721C00636000,0.01,O:SPY250721C00642000,0.01
2025-07-22,O:SPY250722P00616000,0.02,O:SPY250722P00622000,0.05,O:SPY250722C00636000,0.01,O:SPY250722C00642000,0.01
2025-07-23,O:SPY250723P00619000,0.01,O:SPY250723P00626000,0.13,O:SPY250723C00638000,0.05,O:SPY250723C00645000,0.01
2025-07-24,O:SPY250724P00623000,0.03,O:SPY250724P00629000,0.1,O:SPY250724C00641000,0.02,O:SPY250724C00647000,0.01
2025-07-25,O:SPY250725P00623000,0.05,O:SPY250725P00629000,0.08,O:SPY250725C00641000,0.02,O:SPY250725C00647000,
2025-07-28,O:SPY250728P00625000,0.02,O:SPY250728P00631000,0.07,O:SPY250728C00643000,0.06,O:SPY250728C00649000,0.01
2025-07-29,O:SPY250729P00626000,0.02,O:SPY250729P00632000,0.04,O:SPY250729C00644000,0.02,O:SPY250729C00650000,0.01
2025-07-30,O:SPY250730P00623000,0.05,O:SPY250730P00630000,0.3,O:SPY250730C00642000,0.1,O:SPY250730C00649000,0.02
2025-07-31,O:SPY250731P00627000,0.07,O:SPY250731P00633000,0.26,O:SPY250731C00645000,0.1,O:SPY250731C00651000,0.01
2025-08-01,O:SPY250801P00612000,0.06,O:SPY250801P00619000,0.33,O:SPY250801C00633000,0.18,O:SPY250801C00640000,0.01
2025-08-04,O:SPY250804P00611000,0.05,O:SPY250804P00618000,0.16,O:SPY250804C00634000,0.01,O:SPY250804C00641000,0.01
2025-08-05,O:SPY250805P00618000,0.03,O:SPY250805P00625000,0.15,O:SPY250805C00639000,0.02,O:SPY250805C00646000,0.01
2025-08-06,O:SPY250806P00615000,0.03,O:SPY250806P00622000,0.12,O:SPY250806C00636000,0.03,O:SPY250806C00643000,0.01
2025-08-07,O:SPY250807P00623000,0.04,O:SPY250807P00630000,0.17,O:SPY250807C00642000,0.02,O:SPY250807C00649000,0.01
2025-08-08,O:SPY250808P00621000,0.03,O:SPY250808P00628000,0.12,O:SPY250808C00640000,0.03,O:SPY250808C00647000,0.01
2025-08-11,O:SPY250811P00624000,0.03,O:SPY250811P00630000,0.1,O:SPY250811C00644000,0.02,O:SPY250811C00650000,0.01
2025-08-12,O:SPY250812P00625000,0.03,O:SPY250812P00632000,0.15,O:SPY250812C00644000,0.05,O:SPY250812C00651000,0.01
2025-08-13,O:SPY250813P00633000,0.05,O:SPY250813P00639000,0.1,O:SPY250813C00651000,0.01,O:SPY250813C00657000,0.01
2025-08-14,O:SPY250814P00631000,0.07,O:SPY250814P00637000,0.18,O:SPY250814C00649000,0.03,O:SPY250814C00655000,0.01
2025-08-15,O:SPY250815P00634000,0.05,O:SPY250815P00640000,0.16,O:SPY250815C00652000,0.02,O:SPY250815C00658000,0.01
2025-08-18,O:SPY250818P00630000,0.02,O:SPY250818P00636000,0.07,O:SPY250818C00650000,0.02,O:SPY250818C00656000,0.01
2025-08-19,O:SPY250819P00631000,0.02,O:SPY250819P00637000,0.04,O:SPY250819C00649000,0.03,O:SPY250819C00655000,0.01
2025-08-20,O:SPY250820P00626000,0.02,O:SPY250820P00632000,0.06,O:SPY250820C00646000,0.02,O:SPY250820C00652000,0.01
2025-08-21,O:SPY250821P00623000,0.03,O:SPY250821P00630000,0.13,O:SPY250821C00642000,0.05,O:SPY250821C00649000,0.02
2025-08-22,O:SPY250822P00624000,0.09,O:SPY250822P00631000,0.64,O:SPY250822C00645000,0.18,O:SPY250822C00652000,0.01
